[BattleStart]|{HasSkill=99}
[BattleStart]|{Attack=-1001}Is this... really the best use you have for me, Commander?|
[BattleStart]|{Attack=12}{25%}<NF><NESerious><NEMouth\Serious><NEEyes\Narrow><NEBrows\Angry>Prepare thyself!|
[BattleStart]|{Attack=12}<NF><NESerious><NEMouth\Serious><NEEyes\Narrow><NEBrows\Angry>This is the end for you!|
[BattleStart]|{Attack=11}<NF><NEMouth\Open><NEEyes\Normal><NEBrows\Angry>I'm not finished yet!|
[BattleStart]|{Attack=10}{VTargetLevel=1}{EnemyTargetVoredAlly}<NF><NEMouth\Sad><NEEyes\Normal><NEBrows\Angry>You think you can just digest my friends? Not on my watch.|
[BattleStart]|{Attack=10}<NF><NEMouth\Open><NEEyes\Normal><NEBrows\Angry>I'll finish this in a single move!|
[BattleStart]|{TypeVAttack}{TargetAlly}{IsSafe}{HasSkill=120}<NF><NEMouth\Serious><NEEyes\Narrow><NEBrows\Normal>You want me to swallow them Commander? My stomach is getting rather tight, but sure, I'll do it for you.|
[BattleStart]|{TypeVAttack}{TargetAlly}{IsSafe}Hey (Target), Commander says I have to keep you in my stomach for now.|
[BattleStart]|{TypeVAttack}{TargetAlly}{25%}{SetRoute=1}<NF><NEBlush><NEMouth\Normal><NEEyes\Narrow><NEBrows\Down><SRheavyGrowl><SRemptyGrowl>Dessert, just for me? How kind of you, Commander~ ♥|
[BattleStart]|{TypeVAttack}{TargetAlly}{SetRoute=0}No hard feelings, (Target), I gotta fuel up and Commander said you're on the menu.|
[BattleStart]|{TypeVAttack}{50%}I'll dispose of this one quickly. Ahhhhh~|
[BattleStart]|{TypeVAttack}Let's see how well you fight from inside my stomach!|
[BattleStart]|{TypeAttack}{TargetAlly}Sorry about this, orders are orders.|
[BattleStart]|{TypeAttack}{50%}I won't let you hurt anyone!|
[BattleStart]|{TypeAttack}Take this!|




[BattleStart]|{TypeVAttack}{CriticalHungry}You'll have to do. Sorry, but this is for the Commander's sake.|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}Great job, (TargetVored), pin them down for me!|


[Targeted]|{HasSkill=99}
[Targeted]|{Skill=0}Woah, are you okay? I've got you...|
[Targeted]|{TypeVAttack}{TargetAlly}{IsSafeOther}Got it, I'll trust you.|
[Targeted]|{TypeVAttack}{TargetAlly}<NF><NEMouth\Sad><NEEyes\Mix><NEBrows\Up>W-what? Commander... why?|

[AttackDesc]|{Attack=-1001}(Self) approaches (the)(Target)'s open mouth...|
[AttackDesc]|{Attack=12}<SESwing2>(Self) leaps high into the air and blasts forward, descending towards (the)(Target) in a streak of fire!|
[AttackDesc]|{Attack=11}<SESwing2>In a smooth motion, (Self) sweeps the teetering (Target)'s legs out from under (Pro2nd) and opens her mouth wide...|
[AttackDesc]|{Attack=10}<SESwing2>(Self) spins on her heel and unleashes a powerful kick at (the)(Target)'s stomach...|
[AttackDesc]|{TypeVAttack}<SESwing2>(Self) steps forward with lightning speed and grabs (the)(Target)...|
[AttackDesc]|{TypeAttack}<SESwing2>(Self) delivers a devastating kick towards (the)(Target)!|

[AttackHitAttacker]|{Attack=-1001}
[AttackHitAttacker]|{Skill=0}
[AttackHitAttacker]|{Attack=12}<SEHits\hit01>Her divekick lands square in (Pro2nd) chest, sending sparks flying in all directions! (DamageHalf) damage!/<SEChunky Explosion><TNSpecial>As (Self) slides to a stop, a massive explosion engulfs (the)(Target) behind her! (DamageHalf) damage!|
[AttackHitAttacker]|{Attack=11}{VTargetLevel=1}{EnemyTargetVoredAlly}<SEse_gulp1><SEeaten_by_monster2><NF><NEMouth\KO><NEEyes\Mix><NEBrows\Down>...swallowing (Pro2nd) and (TargetVored) whole as she loses balance!|
[AttackHitAttacker]|{Attack=11}<SEse_gulp1><SEeaten_by_monster2>...swallowing (Pro2nd) whole as she loses balance!|
[AttackHitAttacker]|{Attack=10}<SEHits\hit37>...striking (Pro2nd) full force and sending (Pro2nd) reeling! (Damage) damage!|
[AttackHitAttacker]|{TypeVAttack}<SEse_gulp1><SEeaten_by_monster2>...swallowing (Pro2nd) whole!|
[AttackHitAttacker]|{TypeAttack}<SEHits\hit33>Her leg slams into (Pro2nd) with an enormous crack! (Damage) damage!|

[AttackHitTarget]|{Attack=-1001}<SEse_gulp1><SEeaten_by_monster2>...forcing (Pro2nd) way down her throat and into her stomach!|

[AttackMissAttacker]|{Attack=0}<SESwing8>...but is unable to swallow (Pro2nd)!|
[AttackMissAttacker]|<SESwing8>...but completely misses!|

[AttackHitAttackerS]|{HasSkill=99}
[AttackHitAttackerS]|{Attack=12}.........|
[AttackHitAttackerS]|{Attack=11}{VTargetLevel=1}{EnemyTargetVoredAlly}<SRheavyGrowl><BGGrowl>O-oops, I screwed up the timing! Sorry, (TargetVored)! Looks like I couldn't save you after all.../<NF><NEBlush><NEMouth\Open><NEEyes\KO><NEBrows\UpDown><SRheavyBurp><SRheavyGrowl><SRemptyGrowl>Urrrrrp! H-hope you're okay with becoming food for me instead. Hahaha...|
[AttackHitAttackerS]|{Attack=11}<NF><NEMouth\Normal><NEEyes\Normal><NEBrows\Angry><SRheavyGrowl><SRlightBurp><BGGrowl>Urrrp~ Another threat neutralized.|
[AttackHitAttackerS]|{TypeVAttack}{CriticalHungry}Thanks for making this easy. I'll digest you quickly and get back in the fray.|
[AttackHitAttackerS]|{TypeVAttack}{HasSkill=120}{TargetEnemy}<NF><NEBlush><NEMouth\Serious><NEEyes\Narrow><NEBrows\Normal>Whoops, I swallowed someone while I was keeping someone safe.../<NF><NEBlush><NEMouth\Normal><NEEyes\Mix><NEBrows\Down><SEse_lightgrowl1><SRlightGrowl>Looks like I'll have to digest all of you, just to be safe~|
[AttackHitAttackerS]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}<SEse_heavygrowl1><BGGrowl>Alright, nice teamwork! Sorry I couldn't save you, (TargetVored), but I'll make sure your body doesn't go to waste.|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}{IsSafe}{VCount>0}<NF><NEBlush><NEMouth\Normal><NEEyes\Mix><NEBrows\Down>*Huff* I did it, but I won't be able to swallow any more girls for you, Commander.|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}{IsSafe}Don't worry, I'll keep you safe in there.|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}{Route=1}<SRheavyGrowl><BGGrowl>Delicious~ ♥|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}<SRheavyGrowl><BGGrowl>Don't worry, (Target), I'll make sure your sacrifice won't go to waste~|
[AttackHitAttackerS]|{TypeVAttack}{50%}<SRheavyGrowl><BGGrowl>Heh, comfy? Struggle all you want, you're not escaping from there.|
