[BattleStart]|{HasSkill=99}
[BattleStart]|{Attack=-1001}<NF><NEMouth\Sad><NEEyes\Normal><NEBrows\Sad>E-eh? You... Y-you want me to feed myself to her? If you're sure...|
[BattleStart]|{Attack=1146}<NF><NEMouth\Open><NEEyes\Normal><NEBrows\Normal>You look rough, girl! Let me come over and help you with that...|
[BattleStart]|{Skill=0}W-whoops! W-wait, no!|
[BattleStart]|{TypeVAttack}{CriticalHungry}Ohh, I'm so hungry... H-hey, you don't mind helping a girl out, do you?|
[BattleStart]|{TypeVAttack}{TargetAlly}{50%}Hey there! I'm feeling kinda hungry... mind if I have you as a snack real quick? ♥|
[BattleStart]|{TypeVAttack}{TargetAlly}Ahh, you look so pretty! I'm sorry, I just gotta gobble you up right away, I can't help myself! ♥|
[BattleStart]|{TypeVAttack}{50%}Wow, I've never seen anyone that looks like you before... I just gotta have a taste!|
[BattleStart]|{TypeVAttack}Come on, I just wanna eat a few of you! Maybe only, like, five or six?|
[BattleStart]|{TypeAttack}{50%}Hey, back off!|
[BattleStart]|{TypeAttack}Haah!|

[Targeted]|{HasSkill=99}
[Targeted]|{TypeVAttack}{TargetAlly}{IsSafeOther}<NF><NEStar><NEMouth\Kiss><NEEyes\Wink><NEBrows\Normal>I always wondered what it felt like on the other side!|
[Targeted]|{TypeVAttack}{TargetAlly}<NF><NEMouth\Sad><NEEyes\Normal><NEBrows\Sad>I'd prefer for this situation to go the other way around...|
[Targeted]|{Skill=0}Oh? What a weird dance! Are you playing some kind of game?|

[AttackDesc]|{Attack=-1001}(Self) approaches (the)(Target)'s open mouth...|
[AttackDesc]|{Skill=0}<SEse_buchu3>(Self) slips and falls right into (the)(Target)'s open mouth!|
[AttackDesc]|{TypeVAttack}<SESwing2>(Self) looms above (the)(Target) with her enormous body...|
[AttackDesc]|{TypeAttack}<SESwing2>(Self) swings her serpentine tail at (the)(Target)!|

[Massage]|<SRheavyGrowl><SRemptyGrowl><NEBlush><NF><NEStar><NEMouth\Kiss><NEEyes\Wink><NEBrows\Normal>You got some skills girl, think you could help me with work later? ♥|
[Nurse]|<NF><NEHeart><NETail><NEBlush><NEMouth\Normal><NEEyes\Narrow><NEBrows\Sad>Sooooo goooood girl, who have you been eating lately? ♥|

[AttackHitAttacker]|{Attack=-1001}
[AttackHitAttacker]|{Skill=0}
[AttackHitAttacker]|{TypeVAttack}{cCap>0}{hCap<4}<SEse_gulp1><SEeaten_by_monster2>...and swallows (Pro2nd) whole! Her new meal pushes (theVored)(Vored) deeper inside as it slides into her stomach!|
[AttackHitAttacker]|{TypeVAttack}<SEse_gulp1><SEeaten_by_monster2>...and swallows (Pro2nd) whole!|
[AttackHitAttacker]|{TypeAttack}<SEHits\hit15>Her tail slams into them! (Damage) damage!|

[AttackHitTarget]|{Attack=-1001}<SEse_gulp1><SEeaten_by_monster2>...forcing (Pro2nd) way down her throat and into her stomach!|
[AttackHitTarget]|{Skill=0}<SEse_gulp1><SEeaten_by_monster2>...sliding straight down (Pro2nd) throat!|

[AttackMissAttacker]|{TypeVAttack}<SESwing8>...but is unable to swallow (Pro2nd)!|
[AttackMissAttacker]|<SESwing8>...but completely misses!|

[AttackHitAttackerS]|{HasSkill=99}
[AttackHitAttackerS]|{Skill=0}W-what...? H-hey, this is not cool!|
[AttackHitAttackerS]|{TypeVAttack}{50%}<SRheavyGrowl><BGGrowl>MmMmMmmm, so good! I cannot ¡wait¡ to digest you, cutie~ ♥|
[AttackHitAttackerS]|{TypeVAttack}{50%}<SRheavyGrowl><BGGrowl>Oh my god, girl! You. Taste. Unbelievable. How has no one eaten you, yet?|

[AttackHitTargetS]|{Attack=-1001}<SRheavyGrowl>Mnnmmnnn.... This pâtisserie is so trendy..... Even the diners taste good....|
[AttackHitTargetS]|{HasSkill=99}
[AttackHitTargetS]|{Skill=0}<SEse_gulp5>*Gllrrrrrp!*/<SRheavyGrowl><SRheavyBurp><NF><NETail><NEStar><NEMouth\Normal><NEEyes\Wink><NEBrows\Normal>Mmmph... Urrrrp! Hey, did I win? I was supposed to swallow you, right?|
[AttackHitTargetS]|{TypeVAttack}{TargetAlly}
[AttackHitTargetS]|{TypeVAttack}W-wait, what? Th-this isn't how it's supposed to go!|

[AttackMissAttackerS]|{HasSkill=99}
[AttackMissAttackerS]|{TypeVAttack}{50%}Aww, don't be shy~ ♥|

[AttackMissTargetS]|{HasSkill=99}
[AttackMissTargetS]|{TypeVAttack}{50%}...Eh? Were you trying to eat me? Like, no duh it didn't work, I'm twice your size!|

[Kiss]|{TargetVored}<NF><NETail><NEBlush><NEMouth\Horny><NEEyes\Narrow><NEBrows\Sad>Ahhh... Th-that was amazing, I've never had anyone make out with me like that before... I almost regret that I'm about to digest you~ ♥|
[Kiss]|<NF><NETail><NEBlush><NEMouth\Horny><NEEyes\Narrow><NEBrows\Sad>Ahhh... H-hey, why did you stop? That was amazing... Come on, let's go for another round! ♥|

[vTickDown]|{HasSkill=99}<SRheavyGrowl><SRemptyGrowl>Mnnmnnnn... Zzzzz....|
[vTickDown]|{VLevel>4}{50%}<SEse_heavygrowl1><SEse_lightgrowl1><SD05se_heavygrowl5><SD15se_heavygrowl4><SRheavyBurp><NF><NEBlush><NETail><NEMouth\Horny><NEEyes\Narrow><NEBrows\Sad>Urrrrp! O-oh my god, keep squirming like that! Having all of you stretch out my insides feels incredible~ ♥|
[vTickDown]|{VLevel>4}<SRheavyGrowl><SRemptyGrowl><SRheavyBurp><NF><NEBlush><NETail><NEMouth\Horny><NEEyes\Narrow><NEBrows\Sad>Urrrrrp! N-no way, I'm seriously overdoing it... Urrrrrp! But I can't stop! They just taste sooooo good!|
[vTickDown]|{hCap>0}{50%}<SEse_heavygrowl2><SD20se_heavygrowl1><SD25se_emptygrowl3>Ahh... I love the way it feels when girls squirm inside my tail like that~~~ ♥|
[vTickDown]|{hCap>0}<SRheavyGrowl><SRemptyGrowl>Mmph... You cuties taste way too darn good... G-god, I can't wait much longer, hurry up and digest already!|
[vTickDown]|{50%}<SRheavyGrowl><SRemptyGrowl>Heeheehee, the way you're kicking around in there feels so good~ ♥|
[vTickDown]|<SRheavyGrowl><SRemptyGrowl><NF><NEHeart><NEMouth\Kiss><NEEyes\Wink><NEBrows\Normal>Not too much longer, now! Mmm, it's gonna feel so good to churn you up~ ♥|
[vTickDown]

[vComplete]|{HasSkill=99}<SRheavyGrowl><SRemptyGrowl>Mnnmmm... Time to make room.... for more desserts.....|
[vComplete]|{VLevel>4}<SRheavyGrowl><SRemptyGrowl><SRheavyBurp><NF><NETail><NEBlush><NEMouth\Horny><NEEyes\Narrow><NEBrows\Sad>O-oh my god, this was such a bad decision... I-I can't believe I actually ate all those people... Nnnnf, it's too late to turn back, now... I'll just have to diet twice as hard, later!|
[vComplete]|{VCount>1}<SRheavyGrowl><SRemptyGrowl><NF><NETail><NEBlush><NEMouth\Open><NEEyes\Narrow><NEBrows\Flat>Are you all ready to get digested? Mmph... Heeheehee, this is my favorite part... You guys are gonna look soooo good on me~ ♥|
[vComplete]|<SRheavyGrowl><SRheavyBurp>Ooh, I think it's finally time! See you later, cutie~ ♥|

[vAftermath]|{HasSkill=99}<NF><NEBlush><NEMouth\Sad><NEEyes\Narrow><NEBrows\Normal>Mmmph.... Did I fall asleep?`Geez, I feel so bloated... I must have eaten a bunch of people in my sleep again...|
[vAftermath]|<NF><NETail><NEBlush><NEMouth\Open><NEEyes\Narrow><NEBrows\Flat>Oh my god! ♥ That was like, seriously gourmet. You can't even blame me for eating you, you tasted WAY too good to pass up! It was just a matter of time until some girl gobbled you up~ ♥|

[vLevelUp]|My skin feels so smooth!|

[SkillActivation]|{HasSkill=99}
[SkillActivation]|{Skill=0}<SEHit3>O-oops...|
[SkillActivation]|{Skill=-501}Nooo... Urrruuup!`Th-those are my prey...|

[Hunger]|<SRemptyGrowl>I'm starving... Isn't there anyone to eat around here?|

[PreBattle]|She tumbles in the direction of (the)(Target)!|


[Secretary]<RNGGen=3>|{RNG>2}{Vore}<SEse_lightgrowl1><SRlightGrowl><NF><NEMouth\Normal><NEEyes\Closed><NEBrows\Sad>Apparently, our stomach fluids contain a super powerful aphrodisiac for humans. I guess so you don't fight back? I even know some girls that make money on the side by letting you guys have sex inside them. Crazy, right?/<SCClick><SEse_lightgrowl1><SRlightGrowl><NF><NETail><NEHeart><NEBlush><NEMouth\Horny><NEEyes\Narrow><NEBrows\Normal>...I've also heard, there's nothing that feels better for one of you than getting digested by us.`What do you say, Human? Wanna give it a try? ♥|
[Secretary]<RNGGen=3>|{RNG=2}{Vore}<SEse_lightgrowl1><SRlightGrowl><NF><NEStar><NEMouth\Normal><NEEyes\Wink><NEBrows\Normal>How come I'm okay with not digesting you? Well duh, it's 'cause we're friends, stupid! Besides, I've heard human meat is super fattening. A girl's gotta watch her figure!|
[Secretary]<RNGGen=3>|{RNG=1}{Vore}<SEse_lightgrowl1><SRlightGrowl><NF><NEMouth\Normal><NEEyes\Narrow><NEBrows\Sad>You want to try going into my tail? Mmm, I could push you further down, but... once you go in there, there's no coming out, y'know. You sure you want to do that?|
[Secretary]<RNGGen=3>|{RNG>2}{Fed}<SRheavyGrowl><SRemptyGrowl><NF><NEMouth\Normal><NEEyes\ClosedUp><NEBrows\Normal>Hahaha! No way, really? The human really did that? That's hilarious! Oh my god, you've gotta tell me more!/<SCClick><SRheavyGrowl><SRemptyGrowl><NF><NEMouth\Open><NEEyes\Narrow><NEBrows\Normal>Pfffft... Hey! No listening in by putting your head on my stomach! We're having a private conversation, you mind?|
[Secretary]<RNGGen=3>|{RNG=2}{Fed}<SRheavyGrowl><SRemptyGrowl><NF><NEMouth\Open><NEEyes\Normal><NEBrows\Normal>I heard they got a new dessert in the cafeteria, wanna go check it out with me? ...Aren't I full already?`No way! I got a whole 'nother stomach for dessert!|
