[BattleStart]|{HasSkill=99}
[BattleStart]|{Attack=-1001}Nyeh... Are you sure about this, Commyander?|
[BattleStart]|{Attack=6}Nyahaha, I wonder what will happen?|
[BattleStart]|{Attack=5}Parameters... calculated! Vectors... obtained!`Nyahaha, the conditions are perfect! I'll swallow you in a single gulp!|
[BattleStart]|{Skill=0}W-whoa, whoa, whoa! O-oh no!|
[BattleStart]|{TypeVAttack}{CriticalHungry}N-neh... Can I have a small bite? Just a little piece?`Pretty please?|
[BattleStart]|{TypeVAttack}{TargetAlly}{IsSafe}Quick, get inside me, (Target)! I'll protect you!`Don't be shy... I promise I won't use you for any experiments!|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}Don't worry, (TargetVored)! I'll save you!|
[BattleStart]|{TypeVAttack}{50%}Once I eat you, what'll happen? Will you manage to survive?	Or will you churn away inside my guts?/Nyahaha, I'm looking forward to finding out!|
[BattleStart]|{TypeVAttack}{TargetAlly}Sorry, (Target)~ ♫ Commyander says you have to let me eat you!|
[BattleStart]|{TypeVAttack}Nya~ Are you willing to make a small sacrifice for science?|
[BattleStart]|{TypeAttack}{50%}Prey- I mean, subject spotted!|
[BattleStart]|{TypeAttack}Hiyaah!|

[Targeted]|{HasSkill=99}
[Targeted]|{Skill=0}*Yaaaaawn* So sleepy...`I wonder if anyone will notice if I take a quick cat nap...|
[Targeted]|{TypeVAttack}{TargetAlly}{IsSafeOther}Nyeh... Well if the Commyander says so...|
[Targeted]|{TypeVAttack}{TargetAlly}{VTargetLevel>0}Eh? W-wait! Commyander!? At least let me finish my experimeownt first!|
[Targeted]|{TypeVAttack}{TargetAlly}{25%}Nya~ Once I get absorbed by (Target)'s body, will I cease to exist? Or will I live on as a part of them?/Commyander! Please record the results of my experimeownt and deliver them back to me!|
[Targeted]|{TypeVAttack}{TargetAlly}{50%}Oh? Are you running an experimeownt, Commyander?`Interesting!|

[AttackDesc]|{Attack=-1001}(Self) approaches (the)(Target)'s open mouth...|
[AttackDesc]|{Skill=0}<SEse_buchu3>(Self) slips and falls right into (the)(Target)'s open mouth!|
[AttackDesc]|{Attack=6}<SESwing2>(Self) lobs a mysterious object at (the)(Target)!|
[AttackDesc]|{Attack=5}<SESwing2>(Self) leaps high into the air, her lab coat spreading out behind her like wings!|
