[BattleStart]|{HasSkill=99}
[BattleStart]|{Attack=-1001}Commander.... Is this really necessary?|
[BattleStart]|{Attack=21}{25%}{SetRoute=1}<NF><NEBlush><NEMouth\Horny><NEEyes\Open><NEBrows\Up>Y-you really mean it, Commander!? I get to just digest them, no strings attached!? Ah, you know how to make a girl happy~ ♥/<NF><NEBlush><NEMouth\Horny><NEEyes\Up><NEBrows\Up>Y'hear that, (Target)? *Slurp!* No struggling, now~ ♥ It's very important for the Commander's strategy that I digest you, ya know! ♥|
[BattleStart]|{Attack=21}{SetRoute=0}<NF><NESmallBlush><NEMouth\Drool><NEEyes\Normal><NEBrows\Normal>Forgive me, (Target), for in order to continue to execute the Lord's will, I require sustenance, and the Commander has judged you the most fitting sacrifice.|
[BattleStart]|{Attack=20}Take heart, O' valiant warrior... with the Lord's blessing, your weary body shall be granted vigor anew. Do not fear, come closer and allow me to consume you.|
[BattleStart]|{Attack=141}Lord, restore the vigor of these valiant warriors.|
[BattleStart]|{TypeVAttack}{TargetAlly}{IsSafe}Have no fear, (Target), for my holy sanctuary will provide you with safe asylum; a place to recover from you trials and tribulations.|
[BattleStart]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}<NF><NEBlush><NEMouth\Horny><NEEyes\Up><NEBrows\Happy>Heeheehee, I get to eat (the)(Target) and (TargetVored) at the same time? Lucky!/<NF><NEBlush><NEMouth\Serious><NEEyes\Normal><NEBrows\Up>*Cough* I-I mean, unhand her you... sinner!|
[BattleStart]|{TypeVAttack}{TargetAlly}<NF><NEBlush><NEMouth\Horny><NEEyes\Normal><NEBrows\Sad>Don't be afraid, (Target), I won't digest you~ ♫ It's safe inside me, I promise!|
[BattleStart]|{TypeVAttack}{50%}Repent ye sinner for judgement is upon thee. Let thine sins be washed away by mine stomach's baptismal waters; let thine mortal flesh become one with mine.|
[BattleStart]|{TypeVAttack}Thine life was forfeit as soon as thee chose the path of sin. Fear not, for I will carry thine... er, carry thee to the afterlife within my belly.|
[BattleStart]|{TypeAttack}{50%}Lord, strike down this foe.|
[BattleStart]|{TypeAttack}Your vile existence must end here.|

[Targeted]|{HasSkill=99}
[Targeted]|{Skill=0}W-woah, this is my chance!|
[Targeted]|{TypeVAttack}{TargetAlly}{IsSafeOther}<NF><NEMouth\Serious><NEEyes\Normal><NEBrows\Sad>O-of course I trust you... I-it'd be hypocritical of me not to...|
[Targeted]|{TypeVAttack}{TargetAlly}<NF><NEMouth\Serious><NEEyes\Normal><NEBrows\Sad>Commander... did I not serve you well? Mmnnn, if only our roles were reversed...|

[AttackDesc]|{Attack=-1001}(Self) approaches (the)(Target)'s open mouth...|
[AttackDesc]|{Skill=0}<SEse_buchu3>(Self) slips and falls right into (the)(Target)'s open mouth!|v
[AttackDesc]|{Attack=22}<SESwing2>(Self) sweeps her arms out wide, emitting an intense beam a light from her body towards (the)(Target)...|
[AttackDesc]|{Attack=21}<SESwing2>(Self) sweeps (the)(Target) up into in her arms...|
[AttackDesc]|{Attack=20}<SESwing2>(Self) wraps (the)(Target) in her arms, pulling her head in close to her bosom...|
[AttackDesc]|{TypeVAttack}<SESwing2>(Self) opens her arms wide, as if to give (the)(Target) a warm embrace...|
[AttackDesc]|{TypeAttack}<SESwing2i>(Self) emits a blast of light from her palms towards (the)(Target)...|

[AttackHitAttacker]|{Attack=-1001}
[AttackHitAttacker]|{Skill=0}
[AttackHitAttacker]|{Attack=22}<SEHit>The beams burn (Pro2nd) flesh! (Damage) damage!|
[AttackHitAttacker]|{Attack=21}<SEse_gulp1><SEeaten_by_monster2>...and gobbles her up in an instant!|
[AttackHitAttacker]|{Attack=20}<SEse_gulp1><SEeaten_by_monster2>...and in the next moment, opens her mouth wide and swallows her whole!|
[AttackHitAttacker]|{TypeVAttack}<SEse_gulp1><SEeaten_by_monster2>...then wraps them around (Pro2nd) and swallows (Pro2nd) whole!|
[AttackHitAttacker]|{TypeAttack}<SEHit>The beams burn (Pro2nd) flesh! (Damage) damage!|

[AttackHitTarget]|{Attack=-1001}<SEse_gulp1><SEeaten_by_monster2>...forcing (Pro2nd) way down her throat and into her stomach!|
[AttackHitTarget]|{Skill=0}<SEse_gulp1><SEeaten_by_monster2>...sliding straight down (Pro2nd) throat as (Target) greedily gulps her down!|

[AttackMissAttacker]|{Attack=0}<SESwing1>...but is unable to swallow (Pro2nd)!|
[AttackMissAttacker]|<SESwing1>...but completely misses!|

[AttackHitAttackerS]|{HasSkill=99}
[AttackHitAttackerS]|{Attack=21}
[AttackHitAttackerS]|{Attack=20}Lord, please grant me your favor. Let my belly fill with your holy water and the body of the one within be mended.|
[AttackHitAttackerS]|{TypeVAttack}{TargetAlly}{IsSafe}Now close your eyes and rest, knowing no harm will befall you while you are inside me. When you reawaken, you will have been restored in both mind and body.|
[AttackHitAttackerS]|{TypeVAttack}{HasSkill=140}{TargetEnemy}<NF><NEBlush><NEMouth\Horny><NEEyes\Up><NEBrows\Low>Oh no~ My inner sanctum has been breached by a heretic~ ♥`Whatever shall I do~?/<NF><NEBlush><NEMouth\Burp><NEEyes\Up><NEBrows\Sad><SRheavyGrowl><SRemptyGrowl><SRheavyBurp><BGGrowl>Urrrrp! Looks like I'll just have to digest everyone inside, just to be safe! Geheheheh~ ♥|
[AttackHitAttackerS]|{TypeVAttack}{VTargetLevel=1}{EnemyTargetVoredAlly}<SEse_heavygrowl1><BGGrowl><NF><NESmallBlush><NEMouth\Horny><NEEyes\Up><NEBrows\Low>Geheheh~ *Slurp!* Mmmm, too bad, (TargetVored)~ I tried to get them to let you go, but it was no use! Now I'm gonna have to digest you both!|
